User,Protocol,Borrowing in USD,Risk adjusted collateral in USD,Health factor,Standardized health factor,Collateral,Borrowings
0x732f5f56f0a0a1888a9db1f35bc729595f6c62c492e08dffe9d5c71ab1a3532,Hashstack,30.818699,9.713458443937962917186401356,0.3151806779364035748941381775,0.3030583441696188220135944014,"ETH: 0.0060, USDT: 0.0000",USDT: 30.8187
0x2e4dff5c8d806ec7e06198066503416f872705417f53783bcaa4a3833c62881,Hashstack,30.15061461431999956424032661,8.008620911959580339403700713,0.9207433450965715596140595032,0.8853301395159341919365956763,ETH: 0.0171,USDC: 30.1661
0x43e083db1638fd89a9f77f0d935a4bed785d4e638ef1cdaade537a495db2d7b,Hashstack,35.588699,10.60517072983437036954049572,1.056719851710071513699910629,1.016076780490453378557606375,"ETH: 0.0065, USDT: 27.0021",USDT: 35.5887
0x1fb62ac54f9fa99e1417f83bcb88485556427397f717ed4e7233bc99be31bff,Hashstack,41.76150000,16.27319999999999936335370876,1.139860650747027738720156179,1.096019856487526671846304019,"ETH: 0.0100, USDC: 31.3452",wBTC: 0.0015
0x30ba095e7d1ef384ef89403808e96dc60ad38c5c1fd15830a63c7a130ffc408,Hashstack,30.09842339922599848156636870,9.999184775921999855484156861,1.225066150307737921914329975,1.177948221449748001840701899,"USDC: 10.0043, ETH: 0.0165",DAI: 30.1284
0x19a1b99c9496ee642fa64f602a32c74525573c7881b0b79507c778d5edac39b,Hashstack,29.98457999999999956663998546,25.09480648011255015691148029,1.240852659378533965874835222,1.170615716394843364032863417,ETH: 0.0227,USDC: 30.0000
0x1caf85dbb2e8c6d551f7d94d5acc9f854680ec060f7a808f0901915ad19a127,Hashstack,32.54639999999999872670741752,11.39123999999981078522759613,1.248999999999994200000000000,1.200961538461532884615384615,ETH: 0.0250,ETH: 0.0200
0xb375c17a97bad69fa0646c6cad8f6fc207396d77cdbccd06dd7169f347e128,Hashstack,29.97017999999999848803611258,9.994859999999999855546661820,1.249913947156563231714460712,1.201840333804387722802366069,"USDC: 10.0000, ETH: 0.0169",DAI: 30.0000
0x3906f97a3d40cae3900e910d6943a0a29d983a6bfb20445d925f2b22f2706f0,Hashstack,29.98457999999999956663998546,9.994859999999999855546661820,1.287234718462148179925557533,1.237725690828988634543805320,"USDC: 10.0000, DAI: 28.6308",USDC: 30.0000
0x2f418e94125000d81937a68aa8fd01a3e5ece33b30e187defa8c8f4f2339f3b,Hashstack,34.98200999999999949441331637,10.08938399999999960527929943,1.287416360294905860214972511,1.237900346437409480975935107,"ETH: 0.0062, USDC: 34.9650",USDC: 35.0000
0x289bba50d28486a2ecea655cbfcb72a474d9a77fec44754f9102cc164c6a15c,Hashstack,99.90059999999999496012037525,48.81959999999999809006112628,1.324582418933234399710566773,1.261507065650699428295777879,ETH: 0.0813,DAI: 100.0000
0x63a50135e40b24fccb87c29fe0443da951339de525ddd0fb9dab0c0affdf542,Hashstack,30.51224999999999880628820392,10.17074999999999960209606797,1.332333333333333333333333333,1.281089743589743589743589743,ETH: 0.0250,ETH: 0.0188
0x1dc0f785c9182c00392ccd4759c55fa1ff37daebd8b12805dedb6ff029817a4,Hashstack,30.46318487058599955972282292,10.15439495686199985324094097,1.332333361254333373656375694,1.281089770436859013131130475,USDC: 40.6080,USDC: 30.4789
0x62513b05f2d77687ecdca05805afc5b580bb951cc2fedee69ec64a6ab87fb50,Hashstack,30.171963,10.057321,1.332333365250381620844490629,1.281089774279213096965856374,USDT: 40.1991,USDT: 30.1720
0x30ba095e7d1ef384ef89403808e96dc60ad38c5c1fd15830a63c7a130ffc408,Hashstack,55.32006700,19.800000,1.356920659911709796013081474,1.304731403761259419243347571,"USDT: 19.8000, wBTC: 0.0020",wBTC: 0.0020
0x3942c0f2ff317206f7757c224605d5b1b617090bfdb4ec311e4075e4b864b4d,Hashstack,29.98457999999999956663998546,11.64121134022799983175233685,1.371912466666666666666666667,1.319146602564102564102564103,USDC: 41.1574,USDC: 30.0000
0x581e7d95b6dcb87b66205c3787461e5d7334f65f07cda9db148cef8d33c6ef5,Hashstack,30.000000,11.39123999999999955434759613,1.380834689585199970675873556,1.327725663062692279496032265,"ETH: 0.0070, USDC: 30.0492",USDT: 30.0000
0x30ba095e7d1ef384ef89403808e96dc60ad38c5c1fd15830a63c7a130ffc408,Hashstack,58.67464991999999770450813230,25.200000,1.428487010733919364573925700,1.373545202628768619782620866,"USDT: 25.2000, ETH: 0.0360",ETH: 0.0361
0x5b55db55f5884856860e63f3595b2ec6b2c9555f3f507b4ca728d8e427b7864,Hashstack,29.29175999999999885403667577,14.99228999999999978331999273,1.522844752244317225337235704,1.450328335470778309844986384,"USDC: 15.0000, USDT: 29.6145",ETH: 0.0180
0x5b55db55f5884856860e63f3595b2ec6b2c9555f3f507b4ca728d8e427b7864,Hashstack,29.98457999999999956663998546,16.27319999999999936335370876,1.541718957544177693952905263,1.454451846739790277314061569,"ETH: 0.0100, USDC: 29.9700",USDC: 30.0000
