User,Health factor,Borrowing in USD,Risk adjusted collateral in USD,Collateral,Borrowings
0x34530...7bebd,0.8376036914311356179547813985,0.03066763699999999662582084170,0.02568732595867007480298299980,ETH: 0.0000,USDC: 0.0306
0x6897b...8c983,0.8505281741681594513100051622,0.01183186018810006181698506396,0.01006333044279768122369502950,ETH: 0.0000,ETH: 0.0000
0x6fe71...fc72f,0.8660836261110969677346542229,5.732851077463726114621090160,4.965128449124693168002490659,USDT: 7.0930,ETH: 0.0030
0x9c0cd...0f506,0.8924461077839215537079696156,1.171305181768212541544348607,1.045326750496180037007762623,USDC: 1.3054,ETH: 0.0006
0x55717...98b29,0.9015335179238656280901825839,1.077380240210232013266331028,0.9712943980983898586197638544,USDC: 1.2129,ETH: 0.0006
0x49daa...67557,0.9015341267232638880498620851,1.204317425250261591978658799,1.085733258270604219028552122,USDC: 1.3558,ETH: 0.0006
0xc25d3...2b0b4,0.9050617449763022133815782371,0.03525521999999999612107615121,0.03190815093272342580858889748,ETH: 0.0000,USDC: 0.0352
0x41abd...f43fa,0.9126203893756627663551936199,0.02999896899999999669939043656,0.02737767076964843367014011143,USDC: 0.0342,USDC: 0.0300
0x7f459...3223b,0.9253701758989202825987036084,1.209289645287263412351628653,1.119040571772217858844236640,USDT: 1.5986,ETH: 0.0006
0x1a8cf...f9871,0.9268868364919888376111125962,2.269184399984754958007340081,2.103277149918841366536505892,USDC: 2.6265,ETH: 0.0012
0x44789...be67a,0.9290378706569313081286957617,0.8398937782818763206956546699,0.7802931273529991550383937064,USDT: 1.1147,ETH: 0.0004
0x687f6...3d560,0.9318033753799920144627744112,0.9575299991013587786648969563,0.8922296851902468303128928719,USDT: 1.2746,ETH: 0.0005
0x8c178...920a3,0.9331757982653905744294247467,1.016042641254395344847151792,0.9481464028242462371425199760,USDC: 1.1840,ETH: 0.0005
0x39536...33763,0.9331764335275959255906816522,1.106078397672591315669679422,1.032166294342026721819337327,USDC: 1.2889,ETH: 0.0006
0x5cce6...dde46,0.9362493169501748522635273037,2.172887161434169136246267518,2.034364120702545170439905633,USDC: 2.5404,ETH: 0.0011
0x4d564...0000a,0.9372345953340113105601849855,1.613513901999999822474585187,1.512241049006771416631137568,ETH: 0.0010,USDC: 1.6119
0x24e21...84dc7,0.9384403857733348534585440860,0.8872815974511789846201094755,0.8326608846016652091721750188,USDT: 1.1895,ETH: 0.0005
0x70888...d1b95,0.9384405073661415593863637907,0.7905476949592076181042441063,0.7418819799546525072536689408,USDT: 1.0598,ETH: 0.0004
0x58724...da26a,0.9398730921152018960044676858,34.34996665099999622067583616,32.28460937032943262580034718,ETH: 0.0213,USDC: 34.3157
0x493f4...fcd26,0.9400987536417413861700229002,1.015773602846321182162682507,0.9549274980180077539141401424,USDC: 1.1925,ETH: 0.0005
