User,Protocol,Health factor,Borrowing in USD,Risk adjusted collateral in USD,Collateral,Borrowings
0x50b2a39db1dfdc4ce8084a61f5196c154417c16d274934791ef14199e161dae,zkLend,0.7025778139587550902596440037,0.8599990916160000328249957136,0.6042162817940844455756236644,ETH: 0.0005,USDC: 0.8609
0x5a4ab4d5a90ad8a5bbdac68295b51e80bc012d151426410f6a73bf69ca99714,zkLend,0.7032485162289721400294201978,0.8591799706560000327937309805,0.6042170395374838461096614222,ETH: 0.0005,USDC: 0.8601
0x6ed0347c25e62f65b25a43a6c8e585add3e83f648866f618c7af39244fecf3f,zkLend,0.7069522188012416938064752357,1.387325191392000052952315770,0.9807726222534317311020756416,ETH: 0.0008,USDC: 1.3888
0x48406760d80b8918071be35c2ddff503856930bdebbb63ab91f6e4693c95471,zkLend,0.7084922077214716647289694934,0.8709653232000000332435618589,0.6170721446828131276031134893,ETH: 0.0005,USDC: 0.8719
0x6ec67df8e7bf9e8fdd926044fea00b5be7d632d67aa571243d860e381a6931b,zkLend,0.7088477767109781916419083430,0.01813254105600000069209443154,0.01285321141366613319645713815,ETH: 0.0000,USDC: 0.0182
0x1e21659a81eb79de849fcdc13aca022b8b011db41e4fae838d72836dbb00ee,zkLend,0.7095020118924315529926402514,0.8544310669440000326124717844,0.6062205610201648915206068300,ETH: 0.0005,USDC: 0.8553
0x3453094e8d09567be57e428e126c944928e76ced061478b910355b4d0c7bebd,zkLend,0.7135477883271220965224899780,0.03060415713600000116811905571,0.02183752863800851204614081115,ETH: 0.0000,USDC: 0.0306
0x48a631e6b6dcf6d60adb6d15f6406d11e3e9f67cef6d707715e7b03d40ce65b,zkLend,0.7249214226698583820235346343,1.064080082016000040614489563,0.7713744468896983382770213486,ETH: 0.0006,USDC: 1.0652
0x3765de3b802f90a48189a18b8a70e4fa36eecd7c3e4319fd14e26765d329a87,zkLend,0.7298797308852322801311527556,1.060349085936000040472082517,0.7739273054873697458978616145,ETH: 0.0006,USDC: 1.0615
0x20b229c9411ef135720bbb65be9a85f351256ae13504d919dd331a70383be68,zkLend,0.7311719966354008932768033482,1.499840445600000057246870000,1.096641333243881418364227018,ETH: 0.0009,USDC: 1.5014
0x4667903b8ef2a74513041886b331999b1bb8dafc770d43df84a7c37735f350a,zkLend,0.7335042808472363115750710592,0.01184828500800000045223292489,0.008690767774066131860382917648,ETH: 0.0000,USDC: 0.0119
0x3f004dd8deb2c8dbd277a598ebd5e130b94833209fcafa936d0b6d70c24b86d,zkLend,0.7338805424990135577326927182,1.023392745648000039061509270,0.7510480233657092648461187764,ETH: 0.0006,USDC: 1.0245
0x46710b1634157b04d6e9f1dfb5c2ce2a33d81ce117be7bc13dca47ce98bedf9,zkLend,0.7396563997925923457342567419,0.8516490524640000325062860753,0.6299276720322948614142813757,ETH: 0.0005,USDC: 0.8526
0x4159903f4eab95bf2d2d9216bd8d43fb49d2371a342b7b1e20a312e5fc3c756,zkLend,0.7457836452334144105078180279,0.8446525607520000322392395020,0.6299280657133646046353445894,ETH: 0.0005,USDC: 0.8456
0x4d439b707481be7c69815811d3d6bc8b83548be2f972e3aacd425a2fc67fd18,zkLend,0.7470951780442340642637306127,0.8604176424480000328409712296,0.6428138717770887095690236686,ETH: 0.0005,USDC: 0.8613
0x7801eaca02f7c4b24b48f12cd15bec90a6ea6b599728ae5b20f18de225905c5,zkLend,0.7504913221231030431639218016,0.8564838639840000326908242556,0.6427837074584561414594047982,ETH: 0.0005,USDC: 0.8574
0x1f182a1554c56fe061f6478bac4091862d74c6ad0f3e66dc41803be10f78329,zkLend,0.7508114811721450024597990877,0.8470290104640000323299453555,0.6359591059422521725475406258,ETH: 0.0005,USDC: 0.8479
0x3f670be6505360470e2f622545f5e8fbe84216232d5364937cabfccbd2abbb6,zkLend,0.7533363200437137937871696924,1.334418967728000050932957166,1.005266274544742834910596162,ETH: 0.0008,USDC: 1.3359
0x5a9ff43d2a2c3c783867c90d955e13a66e31a71a0e26c07565d125305d05802,zkLend,0.7626248292258966989643401779,0.8447464599840000322428235080,0.6442246247844788040973754559,ETH: 0.0005,USDC: 0.8457
0x7334e51cea800528013c77c6fdb858987fc60889ccdfeb6ea8397bfd8904259,zkLend,0.7658083652047788633774898568,0.8443229145120000322266573534,0.6465895508673690043167806798,ETH: 0.0005,USDC: 0.8452
