User,Protocol,Health factor,Borrowing in USD,Risk adjusted collateral in USD,Collateral,Borrowings
0xfa30f8b1c9943b393aed6af3e4ba4fe49cbed4d6887ba6359ff05151fee164,zkLend,0.9617112753581513986817000940,143.7545576134476592558921562,138.2503789409756014048749150,USDC: 172.9984,ETH: 0.0894
0x63f6be5bf73626cf0f2a88d2cf8ca26f2a41da69057db5b3590f9f9a710f04f,zkLend,0.9777718495389913440808233899,577.7274223386563189714679932,564.8856102694619730549279192,USDC: 706.8648,ETH: 0.3594
0x505b5ff410a50db7f206e87a0a8c369bada222978326700f714b519728cb2d0,zkLend,0.9801770247577414772379334380,122.3358233733985400518835612,119.9107633754263492760779499,USDC: 150.0493,ETH: 0.0761
0x745393bf18d380d09ca1dcc0cdd7bd5ee317a32588b0156e6aca7a6b79b10b6,zkLend,0.9817622061589665062302507621,110.8535206881972814966517772,108.8317970313331981324813754,USDC: 136.1857,ETH: 0.0690
0x10665df99bf7cc2ae7eb5969da1beeda11166063ec63b8084925d5b87ca888f,zkLend,0.9831245779665797310947173393,106.6593968426811738422477713,104.8594745071308756984468176,USDC: 131.2150,ETH: 0.0664
0x3d50ec0453b335cee44486f400e8924c64dd8f91af4e2a11a8d45039a83d186,zkLend,0.9928035219669618491688609332,239.5263325466313996781879859,237.8025865561253757335895162,USDC: 297.5722,ETH: 0.1490
0x7855a0fd8c099d93d3860ef69f9b95b2d1b5ca9a1cc3ff8b85dcdeeed82e2d1,zkLend,0.9949265533063354704966072886,159.4431934704000060857298493,158.6342669276602912752907904,DAI: 226.6204,USDC: 159.6143
0x777638fe599f804f6b6587a225562b2ad72fdce787c32fd89208f504610dd5f,zkLend,0.9950299812653060392287335795,141.6900123041760054081150688,140.9858102885052328445840970,DAI: 201.4083,USDC: 141.8421
0x2eec410561810ce003ba69979d7d659d0bd0aa8537ae80f22db09fdea485879,zkLend,0.9952879780168615534691825283,118.0648416659040045063744362,117.5085175365385048278325103,DAI: 167.8693,USDC: 118.1915
0xa77d949396ae37d24fa53097a654a279c7d7fb7e745c7de92934d5c528655b,zkLend,0.9957223985656596401774355394,101.6169816936960038785819904,101.1823047470497117657720961,ETH: 0.0787,USDC: 101.7260
0x402ac5d32795b3651e414b055a5138c1d68f7a62a120b8621795bda76a04ce0,zkLend,0.9957349458530852803516824269,103.2667442503200039415511835,102.8263059945167948269299808,ETH: 0.0800,USDC: 103.3776
0x65756269a86ee4cf701f0892fdc46c89a56dfd449ea84b010b34618570f30d0,zkLend,0.9958981493676519799741463747,109.2063951115200041682595788,108.7584467906753681162312682,DAI: 155.3692,USDC: 109.3236
0x453bd6d6246aff5c8406d5e3e20e04e4c93ff489688070f7219011b65ac5a8e,zkLend,0.9986947774230903425703534809,139.4842823841600053239253576,139.3022243496681576663906258,ETH: 0.1083,USDC: 139.6340
0x71133e2ac0092c62bca61ef519ba105ff36766f2c48bb56b0114017f10b1469,zkLend,0.9996513308388967507722651124,181.4939037414720069273754710,181.4306224143091140164152198,ETH: 0.1411,USDC: 181.6887
